Country,FechasF,AD,Years,Months,Days
 Afghanistan,1919-08-19,2022-05-31,102,1233,37541
 Albania,1912-11-28,2022-05-31,109,1314,39996
 Algeria,1962-07-05,2022-05-31,59,718,21880
 Angola,1975-11-11,2022-05-31,46,558,17003
 Antigua and Barbuda,1981-11-01,2022-05-31,40,486,14821
 Argentina,1816-07-09,2022-05-31,205,2470,75201
 Armenia,1918-05-28,2022-05-31,104,1248,37989
 Armenia,1991-09-21,2022-05-31,30,368,11210
 Australia,1788-01-26,2022-05-31,234,2812,85592
 Austria,1955-10-26,2022-05-31,66,799,24324
 Azerbaijan,1918-05-28,2022-05-31,104,1248,37989
 Azerbaijan,1991-10-18,2022-05-31,30,367,11183
" Bahamas, The",1973-07-10,2022-05-31,48,586,17857
 Bahrain,1971-12-16,2022-05-31,50,605,18429
 Bangladesh,1971-03-26,2022-05-31,51,614,18694
 Bangladesh,1971-12-16,2022-05-31,50,605,18429
 Barbados,1966-11-30,2022-05-31,55,666,20271
 Belarus,1991-07-03,2022-05-31,30,370,11290
 Belgium,1831-07-21,2022-05-31,190,2290,69711
 Belize,1981-09-21,2022-05-31,40,488,14862
 Benin,1960-08-01,2022-05-31,61,741,22583
 Bhutan,1907-12-17,2022-05-31,114,1373,41804
 Bolivia,1825-08-06,2022-05-31,196,2361,71886
 Bosnia and Herzegovina,1992-03-01,2022-05-31,30,362,11048
 Botswana,1966-09-30,2022-05-31,55,668,20332
 Brazil,1822-09-07,2022-05-31,199,2396,72950
 Brunei,1984-02-23,2022-05-31,38,459,13977
 Bulgaria,1878-03-03,2022-05-31,144,1730,52684
 Bulgaria,1908-09-22,2022-05-31,113,1364,41524
 Burkina Faso,1958-12-11,2022-05-31,63,761,23182
 Burkina Faso,1960-08-05,2022-05-31,61,741,22579
 Burundi,1962-07-01,2022-05-31,59,718,21884
 Cambodia,1953-11-09,2022-05-31,68,822,25040
 Cameroon,1960-05-20,2022-05-31,62,744,22656
 Canada,1867-07-01,2022-05-31,154,1858,56582
 Cape Verde,1975-07-05,2022-05-31,46,562,17132
 Central African Republic,1958-12-01,2022-05-31,63,761,23192
 Central African Republic,1960-08-13,2022-05-31,61,741,22571
 Chad,1958-11-28,2022-05-31,63,762,23195
 Chad,1960-08-11,2022-05-31,61,741,22573
 Chile,1810-09-18,2022-05-31,211,2540,77322
" China, People's Republic of",1949-10-01,2022-05-31,72,871,26540
" China, Republic of",1911-10-10,2022-05-31,110,1327,40411
 Colombia,1810-07-20,2022-05-31,211,2542,77382
 Comoros,1975-07-06,2022-05-31,46,562,17131
" Congo, Democratic Republic of the",1960-06-30,2022-05-31,61,743,22615
" Congo, Republic of the",1958-11-28,2022-05-31,63,762,23195
" Congo, Republic of the",1960-08-15,2022-05-31,61,741,22569
 Costa Rica,1821-09-15,2022-05-31,200,2408,73307
 Croatia,1990-05-30,2022-05-31,32,384,11689
