UBIGEO,DISTRITO,REGION,PROVINCIA,NO_NAC,SI_VIV,NO_VIV,TOTAL_POB
10101,Chachapoyas,Amazonas,Chachapoyas,2633,22774,7182,32589
10102,Asunción,Amazonas,Chachapoyas,22,220,20,262
10103,Balsas,Amazonas,Chachapoyas,111,938,87,1136
10104,Cheto,Amazonas,Chachapoyas,44,533,65,642
10105,Chiliquin,Amazonas,Chachapoyas,49,483,53,585
10106,Chuquibamba,Amazonas,Chachapoyas,184,1472,125,1781
10107,Granada,Amazonas,Chachapoyas,31,423,26,480
10108,Huancas,Amazonas,Chachapoyas,31,684,543,1258
10109,La Jalca,Amazonas,Chachapoyas,408,3416,154,3978
10110,Leimebamba,Amazonas,Chachapoyas,284,2850,486,3620
10111,Levanto,Amazonas,Chachapoyas,72,648,74,794
10112,Magdalena,Amazonas,Chachapoyas,79,645,128,852
10113,Mariscal Castilla,Amazonas,Chachapoyas,113,1021,233,1367
10114,Molinopampa,Amazonas,Chachapoyas,165,1782,229,2176
10115,Montevideo,Amazonas,Chachapoyas,40,403,53,496
10116,Olleros,Amazonas,Chachapoyas,29,305,41,375
10117,Quinjalca,Amazonas,Chachapoyas,51,713,5,769
10118,San Francisco de Daguas,Amazonas,Chachapoyas,14,214,67,295
10119,San Isidro de Maino,Amazonas,Chachapoyas,48,488,44,580
10120,Soloco,Amazonas,Chachapoyas,87,1077,60,1224
10121,Sonche,Amazonas,Chachapoyas,24,206,17,247
10201,Bagua,Amazonas,Bagua,2200,21740,3162,27102
10202,Aramango,Amazonas,Bagua,986,8391,388,9765
10203,Copallin,Amazonas,Bagua,336,4079,180,4595
10204,El Parco,Amazonas,Bagua,106,1065,45,1216
10205,Imaza,Amazonas,Bagua,3587,20563,1012,25162
10206,La Peca,Amazonas,Bagua,546,5299,415,6260
10301,Jumbilla,Amazonas,Bongara,94,1047,196,1337
10302,Chisquilla,Amazonas,Bongara,31,223,52,306
10303,Churuja,Amazonas,Bongara,23,195,69,287
10304,Corosha,Amazonas,Bongara,95,586,91,772
10305,Cuispes,Amazonas,Bongara,47,569,53,669
10306,Florida,Amazonas,Bongara,540,4731,728,5999
10307,Jazan,Amazonas,Bongara,577,5761,1242,7580
10308,Recta,Amazonas,Bongara,17,172,19,208
10309,San Carlos,Amazonas,Bongara,27,440,22,489
10310,Shipasbamba,Amazonas,Bongara,146,1266,127,1539
10311,Valera,Amazonas,Bongara,65,705,104,874
10312,Yambrasbamba,Amazonas,Bongara,564,4450,563,5577
10401,Nieva,Amazonas,Condorcanqui,2823,14927,876,18626
10402,El Cenepa,Amazonas,Condorcanqui,1531,8263,97,9891
10403,Rio Santiago,Amazonas,Condorcanqui,2339,11518,96,13953
10501,Lamud,Amazonas,Luya,147,1730,350,2227
10502,Camporredondo,Amazonas,Luya,755,5244,474,6473
10503,Cocabamba,Amazonas,Luya,229,1578,74,1881
