year,carrier,salida,llegada,diff
2013,WN,2013-01-31T21:00:00Z,2013-01-31T21:00:00Z,0
2013,B6,2013-01-31T23:00:00Z,2013-01-31T23:59:00Z,59
2013,B6,2013-01-31T23:00:00Z,2013-01-31T23:59:00Z,59
2013,B6,2013-01-31T22:00:00Z,2013-01-31T22:50:00Z,50
2013,B6,2013-01-31T21:00:00Z,2013-01-31T21:54:00Z,54
2013,EV,2013-01-31T21:00:00Z,2013-01-31T21:59:00Z,59
2013,B6,2013-01-31T22:00:00Z,2013-01-31T22:49:00Z,49
2013,B6,2013-01-31T22:00:00Z,2013-01-31T22:50:00Z,50
2013,US,2013-01-31T05:00:00Z,2013-01-31T05:00:00Z,0
2013,UA,2013-01-31T05:00:00Z,2013-01-31T05:25:00Z,25
2013,UA,2013-01-31T05:00:00Z,2013-01-31T05:30:00Z,30
2013,B6,2013-01-31T05:00:00Z,2013-01-31T05:40:00Z,40
2013,AA,2013-01-31T05:00:00Z,2013-01-31T05:40:00Z,40
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,FL,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,AA,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,AA,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,DL,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,DL,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,MQ,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,EV,2013-01-31T06:00:00Z,2013-01-31T06:01:00Z,1
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:01:00Z,1
2013,EV,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,US,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,US,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,AA,2013-01-31T06:00:00Z,2013-01-31T06:10:00Z,10
2013,WN,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:00:00Z,0
2013,MQ,2013-01-31T06:00:00Z,2013-01-31T06:05:00Z,5
2013,EV,2013-01-31T06:00:00Z,2013-01-31T06:07:00Z,7
2013,DL,2013-01-31T06:00:00Z,2013-01-31T06:10:00Z,10
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:08:00Z,8
2013,AA,2013-01-31T06:00:00Z,2013-01-31T06:10:00Z,10
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:10:00Z,10
2013,MQ,2013-01-31T06:00:00Z,2013-01-31T06:15:00Z,15
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:10:00Z,10
2013,WN,2013-01-31T06:00:00Z,2013-01-31T06:10:00Z,10
2013,UA,2013-01-31T06:00:00Z,2013-01-31T06:08:00Z,8
2013,DL,2013-01-31T06:00:00Z,2013-01-31T06:15:00Z,15
2013,9E,2013-01-31T06:00:00Z,2013-01-31T06:15:00Z,15
2013,US,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:25:00Z,25
2013,WN,2013-01-31T06:00:00Z,2013-01-31T06:25:00Z,25
2013,MQ,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
2013,AA,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
2013,B6,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
2013,DL,2013-01-31T06:00:00Z,2013-01-31T06:30:00Z,30
